B03, Trade, 85617.167, 119, B03, S15, 1
B03, Trade, 85626.583, 113, B03, S06, 1
B03, Trade, 85641.917, 99, B03, S14, 1
B03, Trade, 85671.250, 120, B03, S23, 1
B03, Trade, 85685.617, 119, B03, S06, 1
B03, Trade, 85690.667, 102, B03, S24, 1
B03, Trade, 85724.333, 118, B03, S29, 1
B03, Trade, 85750.117, 119, B03, S07, 1
B03, Trade, 85755.700, 123, B03, S11, 1
B03, Trade, 85768.600, 101, B03, S06, 1
B03, Trade, 85780.400, 118, B03, S29, 1
B03, Trade, 85798.433, 120, B03, S25, 1
B03, Trade, 85801.333, 120, S13, B03, 1
B03, Trade, 85823.950, 112, B03, S29, 1
B03, Trade, 85837.783, 97, B03, S26, 1
B03, Trade, 85838.650, 87, S20, B03, 1
B03, Trade, 85848.467, 105, B03, S09, 1
B03, Trade, 85871.200, 107, B03, S18, 1
B03, Trade, 85887.267, 137, B03, S15, 1
B03, Trade, 85899.650, 93, S06, B03, 1
B03, Trade, 85901.767, 104, S15, B03, 1
B03, Trade, 85932.633, 133, B03, S28, 1
B03, Trade, 85949.217, 111, B03, S15, 1
B03, Trade, 85955.533, 118, B03, S21, 1
B03, Trade, 86002.383, 125, B03, S22, 1
B03, Trade, 86005.600, 125, B03, S09, 1
B03, Trade, 86016.967, 97, S02, B03, 1
B03, Trade, 86019.817, 109, B03, S03, 1
B03, Trade, 86050.433, 131, B03, S18, 1
B03, Trade, 86054.333, 133, B03, S28, 1
B03, Trade, 86082.933, 129, B03, S07, 1
B03, Trade, 86089.917, 106, B03, S10, 1
B03, Trade, 86119.183, 118, S21, B03, 1
B03, Trade, 86125.317, 124, B03, S22, 1
B03, Trade, 86131.583, 109, B03, S28, 1
B03, Trade, 86172.983, 119, B03, S07, 1
B03, Trade, 86184.450, 128, B03, S18, 1
B03, Trade, 86201.900, 108, S06, B03, 1
B03, Trade, 86210.700, 95, B03, S15, 1
B03, Trade, 86221.400, 113, B03, S09, 1
B03, Trade, 86258.400, 122, B03, S07, 1
B03, Trade, 86271.983, 137, B03, S01, 1
B03, Trade, 86280.067, 105, S11, B03, 1
B03, Trade, 86306.500, 134, S07, B03, 1
B03, Trade, 86314.850, 117, B03, S09, 1
B03, Trade, 86319.133, 129, B03, S16, 1
B03, Trade, 86348.683, 132, B03, S16, 1
B03, Trade, 86355.117, 112, B03, S21, 1
B03, Trade, 86368.350, 123, B03, S11, 1
B03, Trade, 86381.767, 89, B03, S24, 1
B03, Trade, 86394.333, 130, B03, S11, 1
B04, 100
B04, Trade, 85712.700, 125, S16, B04, 1
B04, Trade, 85718.150, 131, B04, S29, 1
B04, Trade, 85722.750, 105, B04, S22, 1
B04, Trade, 85730.283, 126, S19, B04, 1
B04, Trade, 85738.500, 127, B04, S18, 1
B04, Trade, 85743.650, 115, B04, S06, 1
B04, Trade, 85747.733, 128, B04, S25, 1
B04, Trade, 85752.983, 128, B04, S22, 1
B04, Trade, 85756.000, 115, S16, B04, 1
B04, Trade, 85758.550, 112, B04, S02, 1
B04, Trade, 85768.567, 124, S28, B04, 1
B04, Trade, 85774.433, 109, B04, S17, 1
B04, Trade, 85777.517, 135, B04, S09, 1
B04, Trade, 85784.567, 104, B04, S03, 1
B04, Trade, 85787.500, 133, B04, S17, 1
B04, Trade, 85798.467, 118, B04, S11, 1
B04, Trade, 85802.600, 125, B04, S09, 1
B04, Trade, 85809.417, 126, S12, B04, 1
B04, Trade, 85814.717, 127, S20, B04, 1
B04, Trade, 85826.167, 119, S19, B04, 1
B04, Trade, 85835.883, 119, B04, S12, 1
B04, Trade, 85846.833, 107, B04, S23, 1
B04, Trade, 85851.933, 115, S01, B04, 1
B04, Trade, 85863.000, 137, S13, B04, 1
B04, Trade, 85869.733, 132, S20, B04, 1
B04, Trade, 85879.483, 114, B04, S16, 1
B04, Trade, 85886.717, 131, B04, S18, 1
B04, Trade, 85895.317, 110, B04, S10, 1
B04, Trade, 85899.433, 119, B04, S24, 1
B04, Trade, 85902.133, 112, S27, B04, 1
B04, Trade, 85908.950, 122, B04, S21, 1
B04, Trade, 85916.000, 124, B04, S02, 1
B04, Trade, 85916.267, 129, S19, B04, 1
B04, Trade, 85922.867, 132, B04, S10, 1
B04, Trade, 85927.250, 111, S21, B04, 1
B04, Trade, 85932.017, 115, B04, S23, 1
B04, Trade, 85946.950, 128, S18, B04, 1
B04, Trade, 85953.233, 126, B04, S22, 1
B04, Trade, 85959.233, 121, S13, B04, 1
B04, Trade, 85969.783, 116, B04, S10, 1
B04, Trade, 85974.400, 131, B04, S25, 1
B04, Trade, 85979.800, 123, B04, S08, 1
B04, Trade, 85990.667, 139, B04, S01, 1
B04, Trade, 85997.600, 122, S00, B04, 1
B04, Trade, 86003.483, 122, B04, S25, 1
B04, Trade, 86011.633, 135, S20, B04, 1
B04, Trade, 86019.883, 129, S26, B04, 1
B04, Trade, 86024.500, 99, S03, B04, 1
B04, Trade, 86028.400, 129, B04, S03, 1
B04, Trade, 86036.517, 138, B04, S02, 1
B04, Trade, 86040.667, 134, S00, B04, 1
B04, Trade, 86045.917, 118, B04, S06, 1
B04, Trade, 86052.783, 131, S20, B04, 1
B04, Trade, 86058.800, 134, B04, S10, 1
B04, Trade, 86062.450, 133, B04, S18, 1
B04, Trade, 86067.583, 129, S13, B04, 1
B04, Trade, 86074.233, 122, S26, B04, 1
B04, Trade, 86088.167, 118, B04, S18, 1
B04, Trade, 86091.883, 120, B04, S11, 1
B04, Trade, 86103.467, 113, B04, S15, 1
B04, Trade, 86107.283, 134, B04, S09, 1
B04, Trade, 86115.583, 112, S09, B04, 1
B04, Trade, 86124.467, 129, B04, S04, 1
B04, Trade, 86130.150, 104, B04, S03, 1
B04, Trade, 86138.167, 138, S00, B04, 1
B04, Trade, 86142.750, 121, S02, B04, 1
B04, Trade, 86146.067, 113, B04, S15, 1
B04, Trade, 86151.200, 120, B04, S11, 1
B04, Trade, 86156.817, 139, B04, S14, 1
B04, Trade, 86160.117, 123, S13, B04, 1
B04, Trade, 86175.300, 116, S06, B04, 1
B04, Trade, 86183.583, 129, B04, S22, 1
B04, Trade, 86190.067, 130, B04, S15, 1
B04, Trade, 86195.933, 128, B04, S10, 1
B04, Trade, 86200.333, 110, S29, B04, 1
B04, Trade, 86207.017, 136, B04, S14, 1
B04, Trade, 86221.550, 130, S00, B04, 1
B04, Trade, 86223.150, 124, B04, S16, 1
B04, Trade, 86230.217, 130, S03, B04, 1
B04, Trade, 86232.950, 125, S13, B04, 1
B04, Trade, 86247.183, 135, B04, S25, 1
B04, Trade, 86254.933, 134, B04, S18, 1
B04, Trade, 86260.633, 119, B04, S18, 1
B04, Trade, 86268.567, 113, B04, S09, 1
B04, Trade, 86276.817, 107, S23, B04, 1
B04, Trade, 86278.750, 106, S17, B04, 1
B04, Trade, 86289.033, 133, B04, S22, 1
B04, Trade, 86297.567, 118, B04, S04, 1
B04, Trade, 86302.733, 125, B04, S29, 1
B04, Trade, 86310.000, 115, B04, S06, 1
B04, Trade, 86319.533, 105, B04, S15, 1
B04, Trade, 86323.900, 106, S18, B04, 1
B04, Trade, 86332.933, 130, B04, S12, 1
B04, Trade, 86344.383, 120, S20, B04, 1
B04, Trade, 86355.717, 118, S22, B04, 1
B04, Trade, 86363.983, 136, S00, B04, 1
B04, Trade, 86374.400, 109, S19, B04, 1
B04, Trade, 86381.967, 110, S11, B04, 1
B04, Trade, 86398.383, 124, B04, S23, 1
B04, Trade, 86399.183, 133, B04, S02, 1
B05, 100
B05, Trade, 85688.983, 133, S07, B05, 1
B05, Trade, 85698.833, 129, B05, S04, 1
B05, Trade, 85700.450, 115, B05, S06, 1
B05, Trade, 85703.233, 118, S00, B05, 1
B05, Trade, 85720.300, 119, S02, B05, 1
B05, Trade, 85729.117, 128, B05, S23, 1
B05, Trade, 85731.350, 125, B05, S02, 1
B05, Trade, 85737.533, 112, B05, S05, 1
B05, Trade, 85740.133, 131, B05, S06, 1
B05, Trade, 85754.300, 138, S20, B05, 1
B05, Trade, 85763.250, 117, S04, B05, 1
B05, Trade, 85765.183, 95, B05, S02, 1
B05, Trade, 85772.300, 127, S19, B05, 1
B05, Trade, 85775.367, 126, S19, B05, 1
B05, Trade, 85783.567, 125, B05, S25, 1
B05, Trade, 85790.383, 132, B05, S08, 1
B05, Trade, 85794.267, 129, S20, B05, 1
B05, Trade, 85800.733, 105, B05, S15, 1
B05, Trade, 85818.017, 129, S12, B05, 1
B05, Trade, 85824.667, 122, B05, S23, 1
B05, Trade, 85829.583, 117, B05, S07, 1
B05, Trade, 85841.900, 121, S20, B05, 1
B05, Trade, 85848.017, 111, S00, B05, 1
B05, Trade, 85854.567, 90, B05, S15, 1
B05, Trade, 85862.050, 120, B05, S25, 1
B05, Trade, 85868.017, 119, B05, S22, 1
B05, Trade, 85871.733, 131, B05, S12, 1
B05, Trade, 85884.750, 132, B05, S17, 1
B05, Trade, 85889.617, 135, B05, S29, 1
B05, Trade, 85897.150, 122, S14, B05, 1
B05, Trade, 85904.700, 131, S06, B05, 1
B05, Trade, 85906.083, 135, B05, S17, 1
B05, Trade, 85912.083, 132, B05, S17, 1
B05, Trade, 85920.883, 121, S00, B05, 1
B05, Trade, 85929.583, 131, S08, B05, 1
B05, Trade, 85931.517, 126, B05, S27, 1
B05, Trade, 85935.367, 107, S20, B05, 1
B05, Trade, 85942.683, 128, B05, S08, 1
B05, Trade, 85946.450, 111, B05, S26, 1
B05, Trade, 85952.533, 138, S16, B05, 1
B05, Trade, 85962.683, 126, B05, S15, 1
B05, Trade, 85969.267, 118, B05, S21, 1
B05, Trade, 85978.667, 123, B05, S10, 1
B05, Trade, 85986.967, 127, B05, S23, 1
B05, Trade, 85994.150, 128, S20, B05, 1
B05, Trade, 86000.433, 100, B05, S22, 1
B05, Trade, 86008.250, 125, S19, B05, 1
B05, Trade, 86021.500, 118, S19, B05, 1
B05, Trade, 86030.517, 132, B05, S29, 1
B05, Trade, 86051.550, 119, B05, S25, 1
B05, Trade, 86064.400, 133, B05, S22, 1
B05, Trade, 86068.067, 131, B05, S21, 1
B05, Trade, 86071.900, 130, B05, S17, 1
B05, Trade, 86078.650, 137, B05, S25, 1
B05, Trade, 86086.983, 132, B05, S28, 1
B05, Trade, 86089.867, 120, B05, S07, 1
B05, Trade, 86096.333, 109, B05, S09, 1
B05, Trade, 86109.583, 138, B05, S06, 1
