B02, Trade, 86161.850, 112, B02, S05, 1
B02, Trade, 86164.967, 112, B02, S02, 1
B02, Trade, 86169.850, 113, B02, S25, 1
B02, Trade, 86173.583, 104, B02, S08, 1
B02, Trade, 86190.133, 117, S27, B02, 1
B02, Trade, 86195.700, 131, B02, S17, 1
B02, Trade, 86209.583, 130, B02, S28, 1
B02, Trade, 86214.033, 105, B02, S25, 1
B02, Trade, 86230.700, 125, B02, S09, 1
B02, Trade, 86243.867, 115, B02, S29, 1
B02, Trade, 86255.717, 114, B02, S20, 1
B02, Trade, 86292.050, 116, B02, S23, 1
B02, Trade, 86295.117, 123, B02, S20, 1
B02, Trade, 86321.717, 104, B02, S02, 1
B03, 100
B03, Trade, 85172.783, 121, B03, S21, 1
B03, Trade, 85175.817, 125, B03, S04, 1
B03, Trade, 85178.617, 125, B03, S27, 1
B03, Trade, 85200.317, 117, B03, S21, 1
B03, Trade, 85210.483, 91, B03, S04, 1
B03, Trade, 85220.600, 113, B03, S12, 1
B03, Trade, 85229.917, 99, B03, S20, 1
B03, Trade, 85247.083, 117, B03, S03, 1
B03, Trade, 85254.967, 107, B03, S06, 1
B03, Trade, 85262.533, 114, S19, B03, 1
B03, Trade, 85264.067, 123, B03, S02, 1
B03, Trade, 85272.067, 90, B03, S25, 1
B03, Trade, 85295.100, 122, B03, S03, 1
B03, Trade, 85299.300, 125, B03, S23, 1
B03, Trade, 85310.467, 102, B03, S25, 1
B03, Trade, 85318.067, 99, B03, S04, 1
B03, Trade, 85349.200, 107, B03, S09, 1
B03, Trade, 85353.883, 125, S27, B03, 1
B03, Trade, 85364.683, 123, B03, S17, 1
B03, Trade, 85374.017, 99, B03, S05, 1
B03, Trade, 85378.333, 135, B03, S02, 1
B03, Trade, 85385.533, 116, B03, S28, 1
B03, Trade, 85388.083, 128, B03, S06, 1
B03, Trade, 85397.367, 110, B03, S17, 1
B03, Trade, 85408.433, 117, S16, B03, 1
B03, Trade, 85413.317, 128, B03, S09, 1
B03, Trade, 85419.917, 126, S20, B03, 1
B03, Trade, 85448.417, 113, S14, B03, 1
B03, Trade, 85450.283, 103, B03, S00, 1
B03, Trade, 85451.233, 102, B03, S23, 1
B03, Trade, 85466.650, 118, B03, S11, 1
B03, Trade, 85500.650, 129, B03, S09, 1
B03, Trade, 85503.867, 118, S13, B03, 1
B03, Trade, 85521.100, 103, B03, S18, 1
B03, Trade, 85523.633, 113, B03, S03, 1
B03, Trade, 85533.250, 132, B03, S04, 1
B03, Trade, 85550.150, 116, B03, S16, 1
B03, Trade, 85572.383, 120, B03, S23, 1
B03, Trade, 85578.767, 89, S00, B03, 1
B03, Trade, 85586.150, 128, S26, B03, 1
B03, Trade, 85600.983, 91, B03, S17, 1
B03, Trade, 85613.767, 113, B03, S22, 1
B03, Trade, 85615.417, 112, S29, B03, 1
B03, Trade, 85624.450, 102, B03, S05, 1
B03, Trade, 85628.583, 123, S22, B03, 1
B03, Trade, 85642.250, 126, B03, S09, 1
B03, Trade, 85655.000, 125, B03, S19, 1
B03, Trade, 85658.167, 128, B03, S18, 1
B03, Trade, 85659.200, 134, B03, S17, 1
B03, Trade, 85671.850, 119, B03, S25, 1
B03, Trade, 85687.050, 112, B03, S22, 1
B03, Trade, 85702.517, 115, B03, S20, 1
B03, Trade, 85712.983, 135, S27, B03, 1
B03, Trade, 85743.533, 120, B03, S28, 1
B03, Trade, 85766.300, 121, B03, S25, 1
B03, Trade, 85775.033, 126, B03, S20, 1
B03, Trade, 85788.633, 126, B03, S18, 1
B03, Trade, 85792.883, 132, B03, S00, 1
B03, Trade, 85796.817, 110, B03, S00, 1
B03, Trade, 85822.383, 119, B03, S09, 1
B03, Trade, 85828.800, 78, B03, S23, 1
B03, Trade, 85840.117, 130, B03, S18, 1
B03, Trade, 85855.750, 109, B03, S23, 1
