B00, 1
B06, Trade, 61369.325, 94, B06, S02, 1
B06, Trade, 61574.925, 102, B06, S02, 1
B06, Trade, 61935.275, 100, B06, S00, 1
B06, Trade, 62191.250, 104, B06, S05, 1
B06, Trade, 62460.175, 104, B06, S02, 1
B06, Trade, 62474.925, 102, B06, S03, 1
B06, Trade, 62552.475, 104, B06, S02, 1
B06, Trade, 62614.700, 104, B06, S00, 1
B06, Trade, 62947.825, 100, B06, S00, 1
B06, Trade, 63108.975, 93, S00, B06, 1
B06, Trade, 63184.625, 91, S02, B06, 1
B06, Trade, 63246.875, 99, B06, S01, 1
B06, Trade, 63294.100, 99, B06, S01, 1
B06, Trade, 63437.550, 101, B06, S03, 1
B06, Trade, 63517.600, 101, S04, B06, 1
B06, Trade, 63918.800, 102, B06, S02, 1
B06, Trade, 63953.975, 104, B06, S05, 1
B06, Trade, 64153.750, 104, B06, S04, 1
B06, Trade, 64162.350, 101, B06, S01, 1
B06, Trade, 64185.125, 104, B06, S05, 1
B06, Trade, 64235.975, 102, B06, S00, 1
B06, Trade, 64643.500, 104, B06, S06, 1
B06, Trade, 64694.300, 101, B06, S00, 1
B06, Trade, 64728.900, 93, B06, S03, 1
B06, Trade, 68377.300, 93, B06, S00, 1
B06, Trade, 71094.525, 85, B06, S00, 1
B06, Trade, 72007.900, 104, B06, S04, 1
B06, Trade, 72491.550, 101, B06, S00, 1
B06, Trade, 72603.600, 102, B06, S03, 1
B06, Trade, 72616.325, 98, B06, S01, 1
B06, Trade, 72840.700, 101, B06, S00, 1
B06, Trade, 73113.600, 95, B06, S04, 1
B06, Trade, 73757.200, 102, B06, S00, 1
B06, Trade, 74442.300, 102, B06, S00, 1
B06, Trade, 74618.225, 100, B06, S04, 1
B06, Trade, 74689.200, 98, B06, S04, 1
B06, Trade, 75102.000, 101, B06, S04, 1
B06, Trade, 75237.875, 99, B06, S04, 1
B06, Trade, 75308.425, 103, B06, S04, 1
B06, Trade, 75411.725, 104, B06, S02, 1
B06, Trade, 75452.525, 99, B06, S00, 1
B06, Trade, 75561.050, 102, B06, S00, 1
B06, Trade, 75614.750, 102, B06, S04, 1
B06, Trade, 76120.750, 103, B06, S01, 1
B06, Trade, 76170.525, 103, B06, S00, 1
B06, Trade, 76422.200, 104, B06, S03, 1
B06, Trade, 76726.775, 92, S04, B06, 1
B06, Trade, 77077.975, 95, B06, S00, 1
B06, Trade, 77496.100, 103, B06, S00, 1
B06, Trade, 77690.450, 104, B06, S01, 1
B06, Trade, 77716.075, 104, B06, S04, 1
B06, Trade, 78187.825, 99, B06, S00, 1
B06, Trade, 78819.125, 102, B06, S03, 1
B06, Trade, 78878.275, 100, B06, S04, 1
B06, Trade, 78975.325, 103, B06, S00, 1
B06, Trade, 79503.850, 102, B06, S00, 1
B06, Trade, 80168.175, 99, B06, S04, 1
B06, Trade, 80658.975, 103, B06, S02, 1
B06, Trade, 81099.550, 104, B06, S04, 1
B07, 100
B07, Trade, 74521.300, 108, B07, S01, 1
B07, Trade, 75301.825, 99, S03, B07, 1
B07, Trade, 75585.800, 105, B07, S04, 1
B07, Trade, 75850.225, 108, B07, S03, 1
B07, Trade, 76498.825, 101, B07, S04, 1
B07, Trade, 76540.325, 104, B07, S03, 1
B07, Trade, 76551.100, 106, B07, S00, 1
B07, Trade, 76819.600, 108, B07, S00, 1
B07, Trade, 76940.750, 109, B07, S00, 1
B07, Trade, 76964.075, 109, B07, S00, 1
B07, Trade, 77005.350, 110, B07, S00, 1
B07, Trade, 77302.875, 110, B07, S04, 1
B07, Trade, 77486.550, 107, B07, S05, 1
B07, Trade, 78568.400, 106, B07, S04, 1
B07, Trade, 78773.075, 107, B07, S04, 1
B07, Trade, 78778.450, 109, B07, S04, 1
B07, Trade, 78891.975, 110, B07, S00, 1
B07, Trade, 79309.125, 105, B07, S00, 1
B07, Trade, 79359.025, 106, B07, S00, 1
B07, Trade, 79385.925, 106, B07, S00, 1
B07, Trade, 79427.750, 108, B07, S04, 1
B07, Trade, 79487.925, 107, B07, S00, 1
B07, Trade, 79898.400, 104, S04, B07, 1
B07, Trade, 79921.725, 110, B07, S00, 1
B07, Trade, 79931.500, 110, B07, S04, 1
B07, Trade, 80022.325, 96, B07, S04, 1
B07, Trade, 80122.925, 101, B07, S04, 1
B07, Trade, 80168.950, 110, B07, S00, 1
B07, Trade, 80244.125, 98, B07, S04, 1
B07, Trade, 80261.125, 110, B07, S04, 1
B07, Trade, 80283.100, 107, B07, S00, 1
B07, Trade, 80337.900, 106, B07, S04, 1
B07, Trade, 80400.925, 106, B07, S00, 1
B07, Trade, 80445.600, 107, B07, S02, 1
B07, Trade, 80593.650, 107, B07, S00, 1
B07, Trade, 80614.050, 106, B07, S04, 1
B07, Trade, 80650.025, 98, B07, S04, 1
B07, Trade, 80717.725, 104, B07, S04, 1
B07, Trade, 80771.125, 100, B07, S04, 1
B07, Trade, 80820.575, 95, B07, S02, 1
B07, Trade, 80901.350, 111, B07, S04, 1
B07, Trade, 81077.000, 109, B07, S00, 1
B07, Trade, 81111.575, 98, B07, S04, 1
B07, Trade, 81212.250, 98, B07, S04, 1
B07, Trade, 81304.775, 105, B07, S00, 1
B07, Trade, 81455.175, 102, B07, S04, 1
B07, Trade, 81561.300, 105, B07, S05, 1
B07, Trade, 81579.550, 106, B07, S00, 1
B07, Trade, 81624.725, 109, B07, S02, 1
B07, Trade, 81708.050, 95, B07, S04, 1
B07, Trade, 81732.850, 98, B07, S00, 1
B07, Trade, 81843.200, 108, B07, S02, 1
B07, Trade, 82076.000, 104, B07, S00, 1
B07, Trade, 82230.650, 110, B07, S02, 1
B07, Trade, 82295.400, 111, B07, S00, 1
B07, Trade, 82330.375, 107, B07, S00, 1
B07, Trade, 82338.650, 93, B07, S00, 1
B07, Trade, 82506.475, 99, B07, S02, 1
B07, Trade, 82565.950, 107, B07, S00, 1
B07, Trade, 82626.725, 80, B07, S00, 1
B07, Trade, 82934.925, 106, B07, S00, 1
B07, Trade, 82965.975, 104, S06, B07, 1
B07, Trade, 83036.400, 84, B07, S00, 1
B07, Trade, 83354.100, 81, B07, S00, 1
B07, Trade, 83406.150, 105, B07, S00, 1
B07, Trade, 83462.825, 104, B07, S04, 1
B07, Trade, 83569.550, 111, S07, B07, 1
B07, Trade, 83622.600, 106, B07, S03, 1
B07, Trade, 83639.725, 109, B07, S04, 1
B07, Trade, 83940.375, 107, B07, S02, 1
B07, Trade, 83955.275, 105, B07, S00, 1
B07, Trade, 84076.825, 109, B07, S00, 1
B07, Trade, 84321.750, 98, B07, S00, 1
B07, Trade, 84339.300, 109, B07, S02, 1
B07, Trade, 84357.125, 104, B07, S02, 1
B07, Trade, 84377.875, 111, B07, S01, 1
B07, Trade, 84497.000, 106, B07, S06, 1
B07, Trade, 84683.725, 104, B07, S00, 1
B07, Trade, 84726.850, 105, B07, S01, 1
B07, Trade, 84787.300, 101, B07, S02, 1
B07, Trade, 84847.225, 111, S07, B07, 1
B07, Trade, 84879.400, 110, B07, S00, 1
B07, Trade, 84895.875, 111, B07, S00, 1
B07, Trade, 85415.975, 89, B07, S00, 1
B07, Trade, 85453.575, 110, B07, S01, 1
B07, Trade, 85540.825, 111, B07, S00, 1
B07, Trade, 85592.025, 91, S04, B07, 1
B07, Trade, 85691.000, 108, B07, S00, 1
B07, Trade, 85716.625, 108, B07, S04, 1
B07, Trade, 85805.625, 105, B07, S02, 1
B07, Trade, 85850.600, 107, B07, S04, 1
B07, Trade, 85871.850, 90, S02, B07, 1
B07, Trade, 85877.375, 103, B07, S04, 1
B07, Trade, 85880.150, 111, B07, S04, 1
B07, Trade, 85997.425, 111, S06, B07, 1
B07, Trade, 86001.175, 107, B07, S01, 1
B07, Trade, 86046.575, 109, B07, S04, 1
B07, Trade, 86084.950, 111, B07, S04, 1
B07, Trade, 86145.425, 105, B07, S04, 1
B07, Trade, 86304.375, 100, B07, S02, 1
B08, 100
B08, Trade, 85339.775, 115, B08, S02, 1
B08, Trade, 85346.925, 117, B08, S05, 1
B08, Trade, 85355.950, 116, B08, S01, 1
B08, Trade, 85362.600, 117, B08, S04, 1
B08, Trade, 85380.300, 116, B08, S00, 1
B08, Trade, 85382.250, 115, B08, S04, 1
B08, Trade, 85384.875, 117, B08, S01, 1
B08, Trade, 85415.950, 117, B08, S01, 1
B08, Trade, 85427.150, 116, B08, S00, 1
B08, Trade, 85440.300, 115, B08, S05, 1
B08, Trade, 85446.600, 117, B08, S02, 1
B08, Trade, 85452.975, 117, B08, S07, 1
B08, Trade, 85464.225, 116, B08, S04, 1
B08, Trade, 85483.000, 116, B08, S04, 1
B08, Trade, 85485.300, 117, B08, S00, 1
B08, Trade, 85491.650, 116, B08, S04, 1
B08, Trade, 85496.850, 114, S07, B08, 1
B08, Trade, 85516.100, 117, B08, S06, 1
B08, Trade, 85519.850, 117, B08, S07, 1
B08, Trade, 85527.225, 117, B08, S05, 1
B08, Trade, 85528.150, 116, B08, S07, 1
B08, Trade, 85534.025, 116, B08, S02, 1
B08, Trade, 85540.225, 113, B08, S05, 1
B08, Trade, 85546.050, 117, B08, S03, 1
B08, Trade, 85564.750, 117, B08, S04, 1
B08, Trade, 85576.875, 117, B08, S06, 1
B08, Trade, 85583.275, 117, B08, S05, 1
B08, Trade, 85586.150, 116, B08, S04, 1
B08, Trade, 85594.075, 117, B08, S02, 1
B08, Trade, 85607.300, 113, S07, B08, 1
B08, Trade, 85636.825, 114, B08, S04, 1
B08, Trade, 85650.100, 117, B08, S04, 1
B08, Trade, 85667.650, 117, B08, S04, 1
B08, Trade, 85672.000, 117, B08, S00, 1
B08, Trade, 85677.700, 116, B08, S05, 1
B08, Trade, 85688.200, 115, B08, S02, 1
B08, Trade, 85693.050, 116, B08, S07, 1
B08, Trade, 85707.375, 117, B08, S05, 1
B08, Trade, 85708.550, 117, B08, S00, 1
B08, Trade, 85720.175, 117, B08, S07, 1
B08, Trade, 85735.325, 114, B08, S00, 1
B08, Trade, 85739.500, 113, S07, B08, 1
B08, Trade, 85755.875, 117, B08, S07, 1
B08, Trade, 85767.750, 116, B08, S00, 1
B08, Trade, 85775.600, 117, B08, S00, 1
B08, Trade, 85779.325, 115, B08, S02, 1
B08, Trade, 85788.950, 117, B08, S04, 1
B08, Trade, 85807.200, 117, B08, S00, 1
B08, Trade, 85812.975, 116, B08, S03, 1
B08, Trade, 85822.975, 117, B08, S00, 1
B08, Trade, 85834.125, 111, S07, B08, 1
B08, Trade, 85840.625, 117, B08, S05, 1
B08, Trade, 85856.900, 112, S05, B08, 1
B08, Trade, 85858.650, 116, B08, S04, 1
B08, Trade, 85867.375, 117, B08, S04, 1
B08, Trade, 85869.875, 116, B08, S00, 1
B08, Trade, 85876.650, 116, B08, S05, 1
B08, Trade, 85889.375, 117, B08, S02, 1
B08, Trade, 85893.700, 116, B08, S04, 1
B08, Trade, 85897.675, 115, B08, S07, 1
